hsa.miR.19b.3p,hsa.miR.1273h.3p,hsa.miR.4433a.3p,hsa.miR.485.3p,hsa.let.7b.5p,hsa.miR.134.5p,hsa.miR.106b.5p,hsa.miR.182.5p,hsa.miR.17.5p,hsa.miR.1304.3p,hsa.miR.30d.5p,hsa.miR.20b.5p,hsa.miR.421,hsa.miR.4433b.5p,hsa.miR.320b,hsa.miR.375.3p,hsa.miR.500a.3p,hsa.miR.139.3p,hsa.miR.493.5p,Class
9.019322013,6.022973188,8.454792062,5.840516916,14.83105753,6.555967304,3.99419149,8.152444813,7.572882438,5.852330806,11.52539983,7.497607912,5.577940708,8.454792062,10.03677635,8.584868554,4.190481487,9.372837577,1.122353202,Case
9.085962998,5.393845086,9.097262953,7.369742309,14.87031375,7.937630499,3.443089088,8.42426211,7.295273648,3.501647064,11.83439153,7.345382296,5.062358407,9.097262953,10.00575354,8.77356395,3.233929242,8.098631908,4.62576867,Case
8.883935626,4.370796807,9.190300896,10.83397164,14.68450288,10.28207615,2.85494857,7.970716853,8.063134675,5.855180765,11.32620124,6.57207436,4.986876087,9.190300896,9.410421704,9.19312241,4.150230438,8.936494978,7.450350394,Case
9.082463465,3.128725646,5.738739972,9.805078625,14.55305718,8.77665831,2.925197037,8.304322752,5.927565411,4.973537097,12.2092208,6.992587368,5.141022943,5.738739972,10.08935729,8.713062522,4.760897951,7.96401397,5.451439751,Case
10.00946721,2.619035607,8.082262144,5.685009517,15.28427926,4.499479306,4.938935042,10.67897538,7.948860892,4.435604064,12.59285235,8.846610874,5.81687011,8.082262144,11.25822741,8.829444161,4.572859126,6.989713046,0.202092175,Case
9.461558749,5.701414601,10.20837281,9.399711332,14.30667871,8.567019363,3.211540316,9.035695225,7.164321635,4.616352961,11.39528895,7.549170782,5.491403841,10.20837281,8.423094008,6.195359044,3.664732964,8.595770933,5.050114351,Case
10.41929481,-1.106777448,5.129780223,5.171148524,15.46359052,6.009486797,6.853670763,9.576100701,8.524063267,2.746592425,12.53899959,9.403357502,6.393364993,5.129780223,9.741787923,8.557149097,5.379487083,7.101870761,2.681353559,Case
8.875235117,3.095753682,7.387368913,9.036057316,15.17097084,8.294122626,4.445583324,9.169326414,7.613760389,5.571148637,11.49408728,7.720263811,5.871199902,7.387368913,9.526685197,9.89056587,-1.760160552,8.28825478,5.069001544,Case
9.283053159,0.200034742,7.601674145,8.016426442,15.48473427,7.554244346,4.859283697,9.434674261,7.803382397,1.287122106,12.30360201,7.754484058,5.841918064,7.601674145,10.62873657,9.21097798,2.630070767,8.482320057,3.94203002,Case
7.951223673,4.708252998,8.21695896,9.02325077,14.97666872,9.080653423,1.414055794,8.032019256,7.866315282,5.32664646,11.53154462,6.241243553,4.676595376,8.21695896,10.43161261,11.03783433,4.323982193,8.600473246,4.970579204,Case
10.19795042,4.419690225,7.788728056,7.763540911,15.37918405,9.004780743,5.046993539,8.892726636,6.716218544,4.749843214,11.7748508,7.923969792,5.692182403,7.788728056,10.5221594,8.996822421,3.541707471,7.475450994,3.155053457,Case
9.472998131,4.711507279,7.009905368,8.581534959,14.35188813,8.39703574,3.733911779,9.096946369,8.244871681,5.002060475,11.10431828,6.620227113,3.740702388,7.009905368,12.79397373,8.579982553,4.811089987,7.737216257,5.747173553,Case
9.543307295,3.1567771,6.618521484,8.58842489,15.65399034,7.75118838,5.465702243,9.616249144,8.844760731,3.696078161,11.82939593,9.382180297,5.561784369,6.618521484,9.032096359,7.280450768,4.187625432,7.290571881,4.748024094,Case
9.869874409,5.549750524,7.267331438,9.241426393,14.50319969,9.050438073,3.417011267,8.750025662,6.909347617,5.074301185,12.38323659,7.534838818,6.309983235,7.267331438,9.000089935,9.177948481,4.867746578,8.22019931,5.747047377,Case
10.16071366,4.369903594,2.640885253,-0.007763683,15.63440954,4.117647842,6.544873385,10.01086577,8.469569648,3.736739728,12.88136236,8.582653354,5.277818413,2.640885253,9.361544797,7.605028246,5.395212158,6.708944243,-3.346978774,Case
